sector,煤炭开采和洗选业,石油和天然气开采业,黑色金属矿采选业,有色金属矿采选业,非金属矿采选业,开采辅助活动,农副食品加工业,食品制造业,饮料制造业,烟草制品业,纺织业,纺织服装、鞋、帽制造业,皮革、毛皮、羽毛(绒)及其制品业,木材加工及木、竹、藤、棕、草制品业,家具制造业,造纸及纸制品业,印刷业和记录媒介的复制,文教体育用品制造业,石油加工、炼焦及核燃料加工业,化学原料及化学制品制造业,医药制造业,化学纤维制造业,橡胶制品业,塑料制品业,非金属矿物制品业,黑色金属冶炼及压延加工业,有色金属冶炼及压延加工业,金属制品业,通用设备制造业,专用设备制造业,交通运输设备制造业,电气机械及器材制造业,通信设备、计算机及其他电子设备制造业,仪器仪表及文化、办公用机械制造业,工艺品及其他制造业,废弃资源和废旧材料回收加工业,电力、热力的生产和供应业,燃气生产和供应业,水的生产和供应业
K11,烟煤,沥青矿,铁矿石成品矿,海绵铜,板岩,天然气开采,原糖,糖果,高粱发酵,烟草代用品制雪茄烟,麻织造加工,塑料面钱包,合成革,木质制品制造,凳,非木竹浆制造,其他本册,乐器及零件制造,溶剂油,钾肥,激素类药,人造纤维短纤维,客车轮胎,农业覆盖薄膜,陶瓷,特殊易切削钢,铑加工材,刀剪,切削机床,矿物洗选设备,客车,风力发电机组,微机板卡,显示仪表,扫帚,废旧电器,水力发电,水煤气,管道输送
K12,无烟煤,石油,炼钢块矿,铅锌矿采选,蜡石,辅助活动,成品糖,巧克力,糖蜜发酵,大雪茄烟,麻染整精加工,,人造革,建筑用木料及木材组件加工,柜,化学法非木材纤维纸浆,包装装潢及其他印刷,礼仪用品制造,润滑脂,复混肥料,抗肿瘤药,人造纤维长丝,工程机械轮胎,工业包装薄膜,玻璃,碳素工具钢,铱加工材,其他金属工具,金属成形机床,牵引车,大型客车,核发电机组,计算机电源,记录仪,拖把,电子产品拆解回收,水电站发电,发生炉煤气,污水处理
K13,硬煤,陆地石油开采,炼铁块矿,铅锌原矿,耐火土石,勘探活动,猪肉,砂糖,白酒麦芽,方头雪茄烟,丝绢纺织,,灰鸭羽毛,木门窗制造,箱,废纸纸浆,商业广告印刷品,雕塑工艺品,润滑油基础油,有机肥料,心血管系统用药,人造纤维长丝纱,农、林机械轮胎,商业包装薄膜,玻璃纤维,不锈钢,锇加工材,集装箱,铸造机械,矿车,中型客车,移动电站,计算机外围设备,自动调节仪表,手杖,熔炼用废钢,抽水蓄能电站的发电活动,加压气化炉煤气,污水的收集
K14,洗块煤,沥青页岩,铁富粉矿,铅精矿,耐火粘土,勘探方法,牛肉,蜜饯制作,特种啤酒,小雪茄烟,缫丝加工,,狐皮服装,木楼梯制造,架,包装用纸及纸板,票证,金属工艺品,液体石蜡,微生物肥料,呼吸系统用药,合成纤维制造,航空器轮胎,日用包装薄膜,玻璃包装容器,电工钢板带,钌加工材,金属压力容器,金属切割,专用配套设备,轻型客车,风电叶片,输入设备,自动控制系统,伞,重型废钢,核力发电,生物质燃气,污水
K15,洗粒级煤,油母页岩开采,铁精矿,锌精矿,高铝粘土,定向钻井,羊肉,糖渍类蜜饯,无醇啤酒,烟草代用品制卷烟,绢纺,,,木地板制造,沙发,机制纸及纸板制造,明信片,漆器工艺品,石油气,其他肥料,泌尿系统用药,有机合成方法,摩托车轮胎,塑料板,玻璃保温容器,电磁纯铁,钨加工材,金属包装容器,焊接设备,深海石油钻探设备,载货汽车,风电轴承,输出设备,楼宇控制系统,鞭子,熔炼用废铁,核能发电,农作物秸秆,深度净化
K16,洗混末煤,油砂开采,人造富铁矿,铅锌混合精矿,硬质粘土,再钻,鲜肉,果脯类蜜饯,稻米黄酒,烟用滤嘴棒,丝印染精加工,,,木制容器制造,屏风,未涂布印刷书写用纸,奖状及证书,花画工艺品制,烃类气,农药,血液系统用药,锦纶纤维制造,子午线轮胎,塑料管,制镜加工,金属提纯,钼加工材,金属丝绳,机床功能部件,建筑施工机械,重型载货车,风电齿轮箱,外存储设备,阀门定位器,扣,优质废铁,核电站运行,林木废弃物,城乡生活污水排网管理
K17,洗中煤,伴生天然气,烧结铁矿,铅块矿,软质粘土,井架架设,冷藏肉,方便食品,非稻米黄酒,醋酸纤维丝束滤嘴棒,化纤织造,,,软木制品及其他木制品制造,木质家具,涂布类印刷用纸,塑料印刷品,植物纤维编织工艺品,矿物蜡,化学农药,诊断用原药,聚酰胺纤维制造,橡胶内胎,塑料棒材,光学玻璃,钢冶炼,钽加工材,建筑、安全用金属制品,附件,土方机械,中型载货车,内燃发电机组,工业控制计算机,电动执行机构,按钮扣,合金废铁,核电站核岛的维护,食用菌渣,市政设施管理
K18,筛选块煤,煤系油母页岩,球团铁矿,锌块矿,铁铝矾土,修复,冻肉,米、面制品,果酒,束滤嘴棒,化纤织物,,,竹、藤、棕、草等制品制造,竹家具,卫生用纸原纸,金属印刷品,刺绣工艺品,油类残渣,生物化学农药,调解水、电解质、酸碱平衡药,锦纶盐,机动车内胎,塑料薄片,玻璃仪器,钢压延加工,锆加工材,建筑、家具用金属配件,轴承,筑路机械,轻型载货车,电机,工业计算机网络,气动执行机构,打火机,金属和金属化合物矿灰及残渣,核电站常规岛的维护,禽畜粪便,海水淡化处理
K19,洗精煤,油砂综合利用,其他人造富铁矿,铅锌炉渣,白云岩,拆除,生皮副产品,面制半成品,饮料制造,膨胀烟丝,针织,,,竹制品制造,藤家具,包装纸,印刷,地毯,原油制造,涂料,麻醉用药,聚己内酰胺,工程机械内胎,塑料丝,日用玻璃,铁合金冶炼,铌加工材,建筑装饰及水暖管道零件,齿轮,工程起重机,微型载货车,电机组,信息安全设备,电液执行机构,烟具,有色金属废料与碎屑,风力发电,生物质资源,海水
K20,炼焦用洗精煤,海上石油开采,中低品位铁矿,镍钴矿采选,煅烧白云石,套管胶接,动物毛类副产品,米制半成品,碳酸饮料制造,斗烟丝,钩针编织品,,,藤制品制造,金属家具,箱纸板,扑克纸牌的印刷,珠宝首饰,油页岩,油墨,抗组织胺类药及解毒药,锦纶纤维,航空器内胎,塑料绳,玻璃纤维增强塑料,有色金属冶炼,镓加工材,安全、消防用金属制品,传动部件,挖掘机,半挂牵引车,电机零件,边界安全,电磁阀,头发装饰,贵金属,风电场功率,可燃性气体能源,海洋船舶海水淡化处理
K21,一般洗精煤,管道作业,伴生矿综合开发利用,镍原矿,粘土及其他土砂石,井泵送,鸡肉,速冻食品,饮用天然水,水烟丝,家用纺织,,,棕制品制造,塑料家具,白纸板,印刷品,体育用品,油砂,工业颜料,生化药（酶及辅酶）,锦纶加工丝,摩托车内胎,塑料扁条,技术玻璃,常用有色金属冶炼,铪加工材,金属表面处理,物料搬运设备,推土机,汽车底盘,异步牵引电机,数据安全,电工仪器仪表制造,梳子,包贵金属废碎料,太阳能发电,转化,雨水
K22,炼焦烟煤,精炼石油制品,硫铁矿,镍精矿,高岭土,井封堵,鸭肉,主食食品,饮用纯净水,咀嚼烟,床上用品,,,草及其他制品制造,家具零部件,瓦楞原纸,装订,球类制造,焦油,工艺美术颜料,消毒防腐及创伤外科用药,涤纶纤维制造,橡胶实心轮胎,塑料袋,建筑陶瓷,铜冶炼,铟加工材,热处理加工,起重设备,压实机械,公路机动车底盘,新能源汽车电动机,访问控制,电磁参数测量仪器仪表,香水喷射器,废电池,太阳能电站,供应,雨水处理
K23,一般烟煤,石油勘探活动,黄铁矿,镍块矿,膨润土,样本采集,火鸡肉,方便面,果菜汁,鼻烟,毛巾,,,木胶合板,家具配件,工业技术配套用纸,排版用活字,专项运动器材,煤炭加工,染料,制剂用辅料及附加剂,聚对苯二甲酸乙二醇酯,航空器实心轮胎,编织袋,卫生陶瓷,铅锌冶炼,铼加工材,搪瓷制品,起升机,捣固机,汽车起重车底盘,电力变压器,防火墙,示波器,粉扑,金属废料提炼金属,生物质能发电,活动,微咸水
K24,褐煤,海洋石油开采,锰矿,钴原矿,硅质土,矿的排水,鹅肉,方便食品,浓缩果汁,蛤蟆烟,布艺类产品制造,,,纤维板,天然木材,其他机制纸及纸板,印版,健身器材,炼焦,密封用填料,抗病毒药物,涤纶短纤维,机动车实心轮胎,编织布,特种陶瓷,镍钴冶炼,钴加工材,生产专用搪瓷制品,专用车辆,打桩机械,非公路用自卸车底盘,静止式变流器,密钥管理,频谱分析仪,宠物专用品,非金属废料,废弃物直接燃烧发电,燃气销售,矿井水的收集
K25,煤化程度,海上天然气开采,铬矿采选,钴精矿,天然砂,矿的试井,珍珠鸡肉,乳制品,植物蛋白饮料,烟草精汁,家用纺织,,,木制家具,木质人造板,手工纸制造,记录媒介复制,运动防护,焦炭,合成材料,抗耐药菌药物,涤纶长丝,力车胎,泡沫塑料,日用陶瓷,锡冶炼,铍加工材,建筑装饰搪瓷制品,连续搬运设备,摊铺机械,新能源车,电感器,安全智能卡,实验装置,水族宠物专用品,机械和设备修理业,垃圾发电,输配,矿井水的处理
K26,含碳量低,可燃冰开采,锰矿石原矿,锡矿采选,硅砂,试钻,乳鸽肉,液体乳,含乳饮料,其他未列明烟草制品,产业用纺织制成品制造,,,木制工具,红木,手工纸,录音带复制品,体育用品,干馏炭,初级形态塑料,抗深部和多重真菌药物,涤纶加工丝,力车轮胎,塑料发泡成型,陈设艺术陶瓷,锑冶炼,铊加工材,搪瓷卫生洁具,电梯,扫雪设备,新型动力系统,电容器,物联网安全,光学分析仪器,核辐射加工,化学纤维废料,沼气发电,用户,矿井水
K27,灰分高,天然气管道运输,锰矿石成品矿,锡原矿,沥青碎石,采矿机械专业维修,鸡杂碎,乳粉,固体饮料制造,烟具,非织造布制造,,,木质容器,办公室家具,加工纸制造,录像带复制品,玩具制造,煤焦油,合成橡胶,抗耐药结核杆菌药物,腈纶纤维制造,力车内胎,塑料人造革,园艺陶瓷,铝冶炼,锗加工材,搪瓷日用品,自动扶梯,货运自卸车,插电式混合动力汽车,配电开关控制设备,入侵检测系统,分光仪,,旧服装,其他电力生产,维修,海水处理
K28,石煤,工业气体制造,锰块矿,锡精矿,石棉及其他非金属矿,,鸭杂碎,其他乳制品制造,蛋白型固体饮料,复烤,,,,竹胶合板,厨房家具,美纹纸及纸板,唱片复制品,游艺器材,机焦,合成纤维单体,抗其他微生物药物,聚丙烯腈,翻新橡胶轮胎,塑料合成革,耐火材料,镁冶炼,钒加工材,金属制日用品,升降机,机械零件,纯电动汽车,电力电子元器件,生物识别系统,分光光度计,,造纸废料,潮汐能发电,外购,净化
K29,泥煤,天然气水合物,锰粉矿,锡块矿,云母矿,,火鸡杂碎,罐头食品,咖啡固体饮料,,,,,竹地板,工艺家具,转印纸,,,型焦,其他合成材料,抗衣原体药物,腈纶短纤维,轮胎翻新,塑料包装箱,石墨,硅冶炼,铅材,金属制厨房用器具,烘炉,专用机械制造,燃料电池电动汽车,连接器,网络容灾备份,极谱分析仪,,废纸,地热能发电,天然气输配,企业
K30,泥炭,海洋天然气,人造富锰矿,锡贫中矿,滑石采选,,珍珠鸡杂碎,肉、禽类罐头,茶饮料（茶汤）,,,,,竹篮子,金属支(框)架,纸制品制造,,,矿物焦油,化学试剂和助剂,中成药胶囊,腈纶长纤丝束,橡胶板,塑料容器,碳素,贵金属冶炼,锌材,厨房用金属器具,风机,混凝土机械,纯电动乘用车,继电器,网站恢复硬件,电位式分析仪器,,塑料废料,波浪能发电,天然气使用,活动
K31,,,,,,,糙米,水产品罐头,咖啡饮料,,,,,竹筷子,保险柜,,,,煤制合成气,专项化学用品,中成药散剂,维纶纤维制造,橡胶管,日用塑料制品,石墨烯,金冶炼,镍材,金属制餐具和器皿,包装设备,水泥专用设备,插电式混合动力乘用车,电路保护装置,计算机应用,热学分析仪器,,,海流能发电,天然气销售,淡化处理
K32,,,,,,,大米粗磨,蔬菜、水果罐头,植物饮料,,,,,竹席,玻璃纤维,,,,氧气气化,林产化学产品,止血栓剂,聚乙烯醇,橡胶带,塑料餐具,绿色耐火,银冶炼,锡材,金属制卫生器具,电影机械,窑炉,纯电动商用车,绝缘栅双极晶体管（IGBT）,电子设备,质谱仪器,,,温差能发电,页岩气,海水淡化处理活动
K33,,,,,,,精米,其他罐头食品,运动饮料,,,,,压制软木,弹簧材料,,,,煤制液体燃料,文化用信息化学品,药酒,维纶纤维,橡胶生产,塑料卫生设备,石墨电极,其他贵金属冶炼,镁材,其他金属制日用品,幻灯,平板玻璃制造,插电式商用车,插电式混合动力车电机,中央处理器,波谱仪器,,,电力供应,液化石油气零售,海水淡化
K34,,,,,,,细粉,调味品、发酵制品,精制茶,,,,,木制栏杆,软质材料,,,,煤制甲醇,医学生产用信息化学品,清凉油,维纶纤维加工丝,橡胶输送带,塑料洁具,石墨烯薄膜,稀有稀土金属冶炼,钛材,铸造,照相机,玻璃纤维加工,燃料电池乘用车,太阳能组件,专业功能模块,色谱仪器,,,供电、售电,煤气制合成气,海洋船舶
K35,,,,,,,添加剂预混合饲料,味精,茶制品,,,,,强化木地板,玻璃家具,,,,煤制乙二醇,环境污染处理专用药剂材料,中药速崩片,丙纶纤维制造,橡胶传动带,塑料服装,柔性石墨,钨钼冶炼,镉材,黑色金属铸造,复印设备,建筑陶瓷机械,燃料电池商用车,太阳能电池,外围设备,电泳仪,,,电能的输送,工业生产,微咸水
K36,,,,,,,宠物深加工食品,酱油,浓缩茶精汁,,,,,木地板条,石制家具,,,,煤制汽油,动物胶,兽用化学药品,聚丙烯,橡胶管,塑料装饰品,高性能陶瓷,稀土金属冶炼,锑材,有色金属铸造,计算器,非金属矿物混合搅拌机械,新能源汽车发动机,控制设备,金融电子,能谱仪,,,大规模电网安全保障,化工生产,
K37,,,,,,,植物蜡,发酵制品,保健茶,,,,,建筑用木工制品,花园庭院用品,,,,煤制品制造,其他专用化学产品,兽用中草药,丙纶纤维,橡胶板,人造草坪,,其他稀有金属冶炼,铋材,锻件,金属密封件,建筑材料制品成型机械,阿特金森循环发动机,太阳能设备,汽车电子,物性分析仪器,,,大规模储能系统,生物质资源转化,
K38,,,,,,,油鞣回收脂,营养食品,,,,,,软木制品,家具及配件,,,,煤制品,炸药及火工产品,兽用疫苗,丙纶纤维加工丝,橡胶线,塑料零件,,,贵金属铂催化剂,粉末冶金制品,紧固件,石材加工机床,增程器专用发动机,太阳能元器件,医疗电子,汽车仪器仪表,,,可再生能源规模化接入,农作物秸秆转化,
K39,,,,,,,油渣饼,保健食品,,,,,,木制餐具,制造活动,,,,煤球,焰火及鞭炮产品,基因缺失疫苗,氨纶纤维制造,橡胶零件,塑料绝缘零件,,,高性能铝合金薄板,自由锻件,弹簧,冶金专用设备,改装汽车,太阳能电池板,工业控制计算机,速度表,,,热力生产和供应,林木废弃物转化,
K40,,,,,,,食料用水产品渣粉,,,,,,,木质框架,,,,,其他煤制品,日用化学产品,疫苗,聚氨基甲酸酯,橡胶密封件,塑料密封制品,,,高频微波、高密度封装覆铜板,模锻件,机械零部件,隧道施工专用机械,石油专用工程车辆,太阳能控制设备,信息采集设备,里程计,,,生物质燃料供热,食用菌渣转化,
K41,,,,,,,食用植物油,,,,,,,软木砖,,,,,其他煤炭加工,肥皂及洗涤剂,生化制剂,氨纶纤维短纤维,橡胶零附件,塑料紧固件,,,PCB用高纯铜箔,特殊成形锻件,工业机器人,化工生产专用设备,智能交通事故现场勘查车,输配电设备,数字化C产品,车费计价计,,,发电,畜禽粪便转化,
K42,,,,,,,食用油脂加工,,,,,,,软木纸,,,,,煤质活性炭,化妆品,酶类,氨纶纤维长丝,硬质橡胶零件,专用零配件,,,海洋工程与高技术船舶用铜材,冷锻件,特殊作业机器人,热交换装置,改装载货汽车,电线,计算机制造,汽车油表,,,,,
K43,,,,,,,禽类熟食,,,,,,,竹纤维制品,,,,,核燃料加工,口腔清洁用品,蛋白质类药,其他合成纤维制造,医用橡胶,,,,高纯铜箔（用于锂电池）,温锻件,增材制造装备,塔类设备,改装运动型多用途乘用车,电缆,系统形式自动数据处理设备,计数装置,,,,,
K44,,,,,,,肉制品及副产品加工,,,,,,,柳条制品,,,,,沥青铀矿,香精,脂肪类药制剂,氯纶纤维,日用橡胶,,,,泡沫铜,粉末冶金件,高温环境作业机器人,反应器（釜）,改装自卸汽车,光缆,计算机数字式处理部件,转数计,,,,,
K45,,,,,,,禽类肉产品,,,,,,,草席,,,,,放射性元素,室内散香制品,抗血清类,腈氯纶纤维,运动场地用塑胶,,,,泡沫铝,,工业机器人零部件,混合搅拌设备,改装牵引汽车,电工器材,网络控制设备,产量计数器,,,,,
K46,,,,,,,高温蒸煮,,,,,,,玉米皮制品,,,,,同位素标记,除臭制品,病人医用试剂,腈氯纶纤维加工丝,防水嵌缝密封条,,,,高温超导电缆,,航天技术增材设备,化工用液体运送机械,改装客车,电气绝缘子,网络接口,步数计,,,,,
K47,,,,,,,香肠制品,,,,,,,秸秆制品,,,,,核反应堆燃料,光洁用品,恶性肿瘤,间位芳纶,橡胶粘带,,,,电容式触摸屏柔性ITO薄膜材料,,医疗行业增材设备,智能控制系统,改装厢式汽车,锂离子电池,网络连接设备,入场计数器,,,,,
K48,,,,,,,熏肉制品,,,,,,,线团木芯,,,,,核废物处置,擦洗膏制品,溶瘤病毒,聚酰亚胺纤维,充气橡胶,,,,有色金属纤维多孔材料,,文物行业增材设备,打叶复烤生产线,改装罐式汽车,镍氢电池,网络优化设备,电子脉冲计数器,,,,,
K49,,,,,,,酱卤烧烤肉制品,,,,,,,藤制席,,,,,生物质燃料加工,动物用化妆盥洗品,基因工程药物,纤维素纳米材料,橡胶减震,,,,无铟透明导电氧化物(TCO)薄膜,,建筑行业增材设备,果蔬加工成套节能型装备,改装仓栅式汽车,铅蓄电池,网络检测设备,机器工作时间计数器,,,,,
K50,,,,,,,腌腊肉制品,,,,,,,藤篮子,,,,,生物质液体燃料,火柴、蜡烛及类似制品,菌苗,,橡胶,,,,,,风动手提工具,预煮机,低速载货汽车,锌锰电池,计算机网络设备,台球计分器,,,,,
K51,,,,,,,干炸肉制品,,,,,,,,,,,,,,医用敷料,,,,,,,,电动手提式工具,虾仁机,铁路,太阳能用蓄电池,高端路由器,手揿计数器,,,,,
K52,,,,,,,动物肠衣,,,,,,,,,,,,,,牙科填料,,,,,,,,零件,切丝机,船舶,充电桩,云平台互联交换机,速度计,,,,,
K53,,,,,,,动物油脂及加工制品,,,,,,,,,,,,,,无菌材料,,,,,,,,交通事故现场勘查救援设备,固体发酵技术装备,航空航天,电动汽车,无线射频（RFID）产品,转速表,,,,,
K54,,,,,,,动物精及汁,,,,,,,,,,,,,,医用耗材,,,,,,,,喷枪,奶油分离器,运输设备制造业,交流充电桩,通信设备制造,汽车速测仪,,,,,
K55,,,,,,,含肉类半成品,,,,,,,,,,,,,,包膜,,,,,,,,喷涂机,酿酒用催芽机,铁路运输设备制造,直流充电桩,通信系统设备制造,频闪观测仪,,,,,
K56,,,,,,,罐装加工,,,,,,,,,,,,,,药用铝箔,,,,,,,,喷射机械,方便面生产线,高铁车组制造,分布式充电桩,光通信设备,定向罗盘,,,,,
K57,,,,,,,冷冻水产品加工,,,,,,,,,,,,,,新型包衣材料,,,,,,,,喷水器,饼干成型机,动力机车,电气模块,卫星通信设备,定位系统,,,,,
K58,,,,,,,冷冻鱼,,,,,,,,,,,,,,缝合材料,,,,,,,,包装容器洗涤及干燥机械,印刷专用设备,高铁动车组,计量模块,微波通信设备,航空导航仪器,,,,,
K59,,,,,,,冷冻虾,,,,,,,,,,,,,,药用辅料,,,,,,,,灌装、装填容器用机械,化工专用设备,电力动车组,集中式快速充电站,散射通信设备,船舶导航系统,,,,,
K60,,,,,,,冷冻蟹,,,,,,,,,,,,,,,,,,,,,,容器装封、贴标签及包封机,制药专用设备,内燃动车组,充电站设备,载波通信设备,船舶定位仪器,,,,,
K61,,,,,,,冷冻软体动物,,,,,,,,,,,,,,,,,,,,,,包装专用设备零件,照明器具生产设备,高速动车组,能量管理系统,通信传输设备零件,船用天文导航设备,,,,,
K62,,,,,,,鱼糜制品及水产品干腌制加工,,,,,,,,,,,,,,,,,,,,,,药品专用包装机械,玻璃陶瓷搪瓷制品设备,高速综合检测列车,充换电一体化系统,程控交换机,超声波探测设备,,,,,
K63,,,,,,,干制水产品,,,,,,,,,,,,,,,,,,,,,,电影摄影机,日用品生产设备,双层动车组,电力电子元器件,光纤接入设备,测距仪,,,,,
K64,,,,,,,腌渍水产品,,,,,,,,,,,,,,,,,,,,,,电影放映机,纺织专用设备,铁路机车车辆制造,灯用电器附件,铜缆接入设备,经纬仪,,,,,
K65,,,,,,,熏制水产品,,,,,,,,,,,,,,,,,,,,,,电路投影装置,皮革加工设备,铁路电力机车,光导纤维电缆,固定无线接入设备,电子速测仪,,,,,
K66,,,,,,,鱼糜制品,,,,,,,,,,,,,,,,,,,,,,静电复印设备,缝制机械制造,铁路内燃机车,单模光纤,家庭桥接设备,水准仪,,,,,
K67,,,,,,,甲壳水产品,,,,,,,,,,,,,,,,,,,,,,喷墨复印机,洗涤机械制造,铁路蒸汽机车,多模光纤,家庭网关设备,平板仪,,,,,
K68,,,,,,,鱼油提取,,,,,,,,,,,,,,,,,,,,,,胶印设备,电子电工机械设备,铁路客车,电工器材配件,接入网设备,专用仪器,,,,,
K69,,,,,,,其他水产品加工,,,,,,,,,,,,,,,,,,,,,,,半导体器件设备,厢式客车,电阻除霜器,电视卫星直播业务,电站热工仪表,,,,,
K70,,,,,,,坚果加工,,,,,,,,,,,,,,,,,,,,,,,电子元器件与机电组件设备,卧铺客车,电池制造,互联网宽带接入,制造活动,,,,,
K71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,农林牧渔机械设备,餐车、娱乐车,锌空气电池,高清、低照度、宽动态、无线视频监控系统,药物检测仪器,,,,,
K72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,拖拉机制造,铁路货车,二氧化锰原电池,广播电视专用配件制造,硬度检测仪,,,,,
